style_id,rule,article_index,clip_loo_sim,clip_threshold_full,clip_pair_max,clip_pass_full,clip_threshold_heldout,clip_pass_heldout,dinov2_loo_sim,dinov2_threshold_full,dinov2_pair_max,dinov2_pass_full,dinov2_threshold_heldout,dinov2_pass_heldout,joint_pass_full,joint_pass_heldout
Ladieswear || Sweater || Knitwear || Beige || Melange,median,0,0.9442545026540756,0.9298796057701111,0.984673023223877,false,0.9288116693496704,false,0.8684483468532562,0.8151490390300751,0.9485378861427307,false,0.8112562298774719,false,false,false
Ladieswear || Top || Jersey Basic || White || Solid,median,5,0.9515913758012984,0.9595422148704529,0.987939178943634,true,0.9597484469413757,true,0.8449155886967977,0.8804250955581665,0.9652867913246155,true,0.885076642036438,true,true,true
Ladieswear || Top || Jersey Basic || White || Solid,median,6,0.966523614194658,0.9595422148704529,0.987939178943634,false,0.9577032327651978,false,0.901289873652988,0.8804250955581665,0.9652867913246155,false,0.8771253824234009,false,false,false
Ladieswear || Top || Jersey Basic || White || Solid,median,7,0.9657489723629422,0.9595422148704529,0.987939178943634,false,0.9580783843994141,false,0.8582188950644599,0.8804250955581665,0.9652867913246155,true,0.8819330930709839,true,false,false
Ladieswear || Top || Jersey Basic || White || Solid,median,8,0.9576132496198019,0.9595422148704529,0.987939178943634,true,0.9596116542816162,true,0.8882181247075399,0.8804250955581665,0.9652867913246155,false,0.8781952857971191,false,false,false
Ladieswear || Top || Jersey Basic || White || Solid,median,9,0.9661798510286543,0.9595422148704529,0.987939178943634,false,0.9574985504150391,false,0.8798526889748044,0.8804250955581665,0.9652867913246155,true,0.8782580494880676,false,false,false
Ladieswear || Top || Jersey Basic || White || Solid,median,10,0.9482156733671824,0.9595422148704529,0.987939178943634,true,0.9598372578620911,true,0.8751044736968147,0.8804250955581665,0.9652867913246155,true,0.8797949552536011,true,true,true
Ladieswear || Top || Jersey Basic || White || Solid,median,11,0.9625058703952365,0.9595422148704529,0.987939178943634,false,0.9590352177619934,false,0.8806211584144168,0.8804250955581665,0.9652867913246155,false,0.8804250955581665,false,false,false
Ladieswear || Top || Jersey Basic || White || Solid,median,12,0.9526537226306068,0.9595422148704529,0.987939178943634,true,0.9599830508232117,true,0.8654934896363152,0.8804250955581665,0.9652867913246155,true,0.8812227249145508,true,true,true
Ladieswear || Top || Jersey Basic || White || Solid,median,13,0.9587877326541476,0.9595422148704529,0.987939178943634,true,0.9590352177619934,true,0.8921583990255991,0.8804250955581665,0.9652867913246155,false,0.8781952857971191,false,false,false
Ladieswear || Top || Jersey Basic || White || Solid,median,14,0.9683399101098379,0.9595422148704529,0.987939178943634,false,0.9577032327651978,false,0.8725203076998392,0.8804250955581665,0.9652867913246155,true,0.8804250955581665,true,false,false
