term,week_start,value
blue sweater,2020-08-31,47.0
blue sweater,2020-09-07,49.0
blue sweater,2020-09-14,59.0
blue sweater,2020-09-21,62.0
blue sweater,2020-09-28,65.0
black t-shirt,2018-08-27,56.0
black t-shirt,2018-09-03,61.0
black t-shirt,2018-09-10,64.0
black t-shirt,2018-09-17,58.0
black t-shirt,2018-09-24,61.0
black t-shirt,2018-10-01,58.0
black t-shirt,2018-10-08,64.0
black t-shirt,2018-10-15,57.0
black t-shirt,2018-10-22,64.0
black t-shirt,2018-10-29,57.0
black t-shirt,2018-11-05,55.0
black t-shirt,2018-11-12,64.0
black t-shirt,2018-11-19,86.0
black t-shirt,2018-11-26,72.0
black t-shirt,2018-12-03,69.0
black t-shirt,2018-12-10,69.0
black t-shirt,2018-12-17,60.0
black t-shirt,2018-12-24,53.0
black t-shirt,2018-12-31,47.0
black t-shirt,2019-01-07,50.0
black t-shirt,2019-01-14,49.0
black t-shirt,2019-01-21,54.0
black t-shirt,2019-01-28,48.0
black t-shirt,2019-02-04,58.0
black t-shirt,2019-02-11,54.0
black t-shirt,2019-02-18,52.0
black t-shirt,2019-02-25,56.0
black t-shirt,2019-03-04,59.0
black t-shirt,2019-03-11,55.0
black t-shirt,2019-03-18,54.0
black t-shirt,2019-03-25,57.0
black t-shirt,2019-04-01,54.0
black t-shirt,2019-04-08,59.0
black t-shirt,2019-04-15,58.0
black t-shirt,2019-04-22,57.0
black t-shirt,2019-04-29,57.0
black t-shirt,2019-05-06,65.0
black t-shirt,2019-05-13,62.0
black t-shirt,2019-05-20,57.0
black t-shirt,2019-05-27,61.0
black t-shirt,2019-06-03,57.0
black t-shirt,2019-06-10,63.0
black t-shirt,2019-06-17,66.0
black t-shirt,2019-06-24,65.0
black t-shirt,2019-07-01,60.0
black t-shirt,2019-07-08,64.0
black t-shirt,2019-07-15,61.0
black t-shirt,2019-07-22,60.0
black t-shirt,2019-07-29,68.0
black t-shirt,2019-08-05,58.0
black t-shirt,2019-08-12,62.0
black t-shirt,2019-08-19,61.0
black t-shirt,2019-08-26,61.0
black t-shirt,2019-09-02,61.0
black t-shirt,2019-09-09,61.0
black t-shirt,2019-09-16,64.0
black t-shirt,2019-09-23,62.0
black t-shirt,2019-09-30,63.0
black t-shirt,2019-10-07,52.0
black t-shirt,2019-10-14,52.0
black t-shirt,2019-10-21,62.0
black t-shirt,2019-10-28,58.0
black t-shirt,2019-11-04,54.0
black t-shirt,2019-11-11,61.0
black t-shirt,2019-11-18,60.0
black t-shirt,2019-11-25,98.0
black t-shirt,2019-12-02,70.0
black t-shirt,2019-12-09,58.0
black t-shirt,2019-12-16,66.0
black t-shirt,2019-12-23,56.0
black t-shirt,2019-12-30,48.0
black t-shirt,2020-01-06,51.0
black t-shirt,2020-01-13,50.0
black t-shirt,2020-01-20,49.0
black t-shirt,2020-01-27,56.0
black t-shirt,2020-02-03,56.0
black t-shirt,2020-02-10,52.0
black t-shirt,2020-02-17,56.0
black t-shirt,2020-02-24,58.0
black t-shirt,2020-03-02,55.0
black t-shirt,2020-03-09,44.0
black t-shirt,2020-03-16,40.0
black t-shirt,2020-03-23,42.0
black t-shirt,2020-03-30,48.0
black t-shirt,2020-04-06,52.0
black t-shirt,2020-04-13,52.0
black t-shirt,2020-04-20,60.0
black t-shirt,2020-04-27,64.0
black t-shirt,2020-05-04,63.0
black t-shirt,2020-05-11,64.0
black t-shirt,2020-05-18,72.0
black t-shirt,2020-05-25,75.0
black t-shirt,2020-06-01,100.0
black t-shirt,2020-06-08,94.0
black t-shirt,2020-06-15,95.0
black t-shirt,2020-06-22,90.0
black t-shirt,2020-06-29,92.0
black t-shirt,2020-07-06,80.0
black t-shirt,2020-07-13,83.0
black t-shirt,2020-07-20,84.0
black t-shirt,2020-07-27,81.0
black t-shirt,2020-08-03,88.0
black t-shirt,2020-08-10,76.0
black t-shirt,2020-08-17,79.0
