origin_week,method,has_52w_lag,is_covid,n_eval_set,n_eval,hit_at_3_in_top20,hit_at_3_in_top10,precision_at_3,precision_at_10,ndcg_at_10,spearman_rho,wmape,demand_capture_at_3,demand_capture_at_10,demand_capture_at_20,tolerance_hit_at_3
2019-12-23,random_floor,true,true,3013,3013,0.0,0.0,0.0,0.005,0.3983499584233049,0.007684395234234876,0.48255058792538696,0.08054087022706545,0.09703692879985087,0.10194086086920517,0.0
2019-12-30,random_floor,true,true,3012,3012,0.0,0.0,0.0,0.0,0.3784479340700961,0.006368948187944523,0.48196877347714817,0.0681867578634186,0.08482082268905614,0.0943056869702866,0.0
2020-01-06,random_floor,true,true,3010,3010,0.0,0.0,0.0,0.0,0.377578321833876,-0.0015815885621151993,0.485239423837678,0.06258489045477834,0.09332734139572905,0.10449946353326045,0.0
2020-01-13,random_floor,true,true,3009,3009,0.0,0.0,0.0,0.0,0.397536495345992,0.0005899055716732416,0.483157707606001,0.07957566086843007,0.09810548011116198,0.10934939646820971,0.0
2020-01-20,random_floor,true,true,3007,3007,0.0,0.0,0.0,0.015000000000000003,0.4101327297089511,0.003436519745734544,0.4924051821730882,0.07553083954958037,0.10910188837444883,0.11947730520633712,0.0
2020-01-27,random_floor,true,true,3008,3008,0.0,0.0,0.0,0.0,0.3900309930978291,0.004167780186291023,0.500848380449195,0.08900381411278979,0.09230468853703276,0.11958679772517603,0.0
2020-02-03,random_floor,true,true,3007,3007,0.0,0.0,0.0,0.005,0.40827826253080995,0.0014297628420637033,0.5007446480700442,0.09867530798879626,0.10329869453012575,0.12806003846401653,0.0
2020-02-10,random_floor,true,true,3007,3007,0.0,0.0,0.0,0.0,0.385046603474914,0.0015555480412877169,0.5072750808621155,0.07652220981875842,0.10510433163588787,0.11394426810883092,0.0
2020-02-17,random_floor,true,true,3005,3005,0.0,0.0,0.0,0.0,0.36182547190691394,-0.0005985687322247973,0.5130460824820828,0.07058357321211842,0.07482149382126382,0.09709811560470179,0.0
2020-02-24,random_floor,true,true,3001,3001,0.0,0.0,0.0,0.0,0.34656355142868156,-0.0043968961066299245,0.5166490799666518,0.04861547297313399,0.06599387536058693,0.08637694829765888,0.0
