season,comparator,metric,n_origins,n_both_defined,model_mean,comparator_mean,mean_diff,ci_lo,ci_hi,ess_ac,ess_boot,THIN
spring,seasonal_naive,spearman_rho,13,13,0.7622941671133971,0.5449829906481584,0.21731117646523884,0.20547729593448824,0.22985523931212132,5.584206850418422,8.257627018199148,false
spring,seasonal_naive,wmape,13,13,0.14637452914073304,0.1950767419012884,-0.04870221276055539,-0.05184807413682671,-0.043119433863242594,10.584517906940162,12.082261945508579,false
spring,ewma_persistence,hit_at_3_in_top20,13,13,0.641025641025641,0.3333333333333333,0.3076923076923077,0.12820512820512822,0.4102564102564103,13.0,10.529898314578759,false
spring,ewma_persistence,hit_at_3_in_top10,13,13,0.5641025641025641,0.25641025641025644,0.3076923076923077,0.1282051282051282,0.48717948717948717,13.0,10.097633403892011,false
spring,ewma_persistence,precision_at_3,13,13,0.1282051282051282,0.02564102564102564,0.10256410256410256,0.0,0.1282051282051282,13.0,13.0,false
spring,ewma_persistence,precision_at_10,13,13,0.25384615384615383,0.19999999999999998,0.05384615384615386,-0.02307692307692307,0.10000000000000002,12.285714285714285,10.45218507263392,false
spring,ewma_persistence,ndcg_at_10,13,13,0.8931388726230333,0.8369791420874453,0.056159730535588016,0.04137086604237568,0.06197390626335441,13.0,13.0,false
spring,ewma_persistence,spearman_rho,13,13,0.7622941671133971,0.5912485824550768,0.17104558465832048,0.13525034980334238,0.20494630190341864,4.770354643430036,5.537492099603547,true
spring,ewma_persistence,wmape,13,13,0.14637452914073304,0.19483094679487728,-0.048456417654144275,-0.05238408106859812,-0.04393386723574426,13.0,11.118250801584443,false
spring,parent_category_mean,hit_at_3_in_top20,13,13,0.641025641025641,0.10256410256410256,0.5384615384615384,0.4102564102564102,0.641025641025641,13.0,13.0,false
spring,parent_category_mean,hit_at_3_in_top10,13,13,0.5641025641025641,0.07692307692307693,0.4871794871794872,0.358974358974359,0.6153846153846155,13.0,13.0,false
spring,parent_category_mean,precision_at_3,13,13,0.1282051282051282,0.0,0.1282051282051282,0.0,0.17948717948717946,13.0,12.274754221510308,false
spring,parent_category_mean,precision_at_10,13,13,0.25384615384615383,0.05384615384615384,0.2,0.07692307692307693,0.29230769230769227,5.7942857142857145,6.961829323123916,false
spring,parent_category_mean,ndcg_at_10,13,13,0.8931388726230333,0.317632045842862,0.5755068267801712,0.38187848050338175,0.7263790350910866,5.538242898459169,6.058694969348693,false
spring,parent_category_mean,spearman_rho,13,13,0.7622941671133971,0.2766832200401317,0.48561094707326546,0.4579720850167461,0.5075235243060208,4.995970404172387,5.808465640057532,true
spring,parent_category_mean,wmape,13,13,0.14637452914073304,0.24892919519361575,-0.10255466605288267,-0.1052114121006192,-0.0976117883659801,13.0,13.0,false
spring,global_mean,hit_at_3_in_top20,13,13,0.641025641025641,0.0,0.641025641025641,0.5128205128205129,0.6666666666666666,13.0,13.0,false
